Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	121227	12:58872149-58920522	1		12q14.1	yes		NSCLC			E	Dom	"TSG, fusion"	T	ROS1			"CCDS8960.1,ENSG00000139263.11,FLJ90440,KIAA3016,NM_153377.4,NP_700356,Q6UXM1"
LRP1B	LDL receptor related protein 1B	53353	2:140231423-142131701	1	Yes	2q22.2	yes		"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer"			"E, L"	Rec	TSG	"D, Mis, N, F"				"CCDS2182.1,ENSG00000168702.17,LRP-DIT,LRPDIT,NM_018557.2,NP_061027,Q9NZR2"
LSM14A	"LSM14A, SCD6 homolog A (S. cerevisiae)"	26065	19:34172566-34229515	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"C19orf13,CCDS12435.1,DKFZP434D1335,ENSG00000257103.8,FAM61A,NM_015578.2,NP_056393,Q8ND56,RAP55,RAP55A"
LYL1	lymphoblastic leukemia derived sequence 1	4066	19:13099033-13102867	1		19p13.13	yes		T-ALL			L	Dom	"oncogene, fusion"	T	TRB			"CCDS12292.1,ENSG00000104903.4,NM_005583.4,NP_005574,P12980,bHLHa18"
LYN	LYN Proto-Oncogene	4067	8:55879813-56010572	2		8q12.1	yes		"DLBCL, B-ALL, MPN"			L		"oncogene, fusion"	"Mis, T"	"ETV6, GATAD2A, NCOR1"			"CCDS6162.1,ENSG00000254087.7,JTK8,NM_002350.3,NP_002341,P07948"
LZTR1	leucine-zipper-like transcription regulator 1	8216	22:20982013-20999038	1	Yes	22q11.21	yes	yes	glioblastoma	"glioblastoma, schwannoma"	Schwannomatosis-2	E	Dom	TSG	"Mis, F, N"		yes	Noonan syndrome 10	"BTBD29,CCDS33606.1,ENSG00000099949.19,LZTR-1,Q8N653"
MACC1	MET transcriptional regulator MACC1	346389	7:20134655-20217390	2		7p21.1	yes		"liver, CRC"			E		oncogene	Mis				"7A5,CCDS5369.1,ENSG00000183742.12,NM_182762.3,NP_877439,Q6ZN28,SH3BP4L"
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	4094	16:79593838-79600714	1		16q23.2	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"CCDS10928.1,ENSG00000178573.6,NM_005360.4,NP_005351,O75444,c-MAF"
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	9935	20:40685848-40689240	1		20q12	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"CCDS13311.1,ENSG00000204103.3,KRML,NM_005461.4,NP_005452,Q9Y5Q3"
MALAT1	"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)"		11:65497762-65506469	2		11q13.1	yes		"renal cell carcinoma (childhood epithelioid), lung"			E	Dom	"oncogene, TSG, fusion"	T	TFEB			
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	10892	18:58671386-58754477	1		18q21.32	yes		MALT			L	Dom	"oncogene, fusion"	T	BIRC3			"CCDS11967.1,ENSG00000172175.12,MLT,NM_006785.3,NP_006776,PCASP1,Q9UDY8"
MAML2	mastermind-like 2 (Drosophila)	84441	11:95976598-96343180	1		11q21	yes		salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	"CRTC3, CRTC1"			"CCDS44714.1,ENSG00000184384.13,KIAA1819,MAM3,NM_032427.3,NP_115803,Q8IZL2"
MAP2K1	mitogen-activated protein kinase kinase 1	5604	15:66386817-66492312	1	Yes	15q22.31	yes		"NSCLC, melanoma, colorectal"			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	"CCDS10216.1,ENSG00000169032.9,MAPKK1,MEK1,NM_002755.3,NP_002746,PRKMK1,Q02750"
MAP2K2	mitogen-activated protein kinase kinase 2	5605	19:4090321-4124129	1	Yes	19p13.3	yes		"NSCLC, melanoma"			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	"CCDS12120.1,ENSG00000126934.13,MEK2,NM_030662.3,NP_109587,P36507,PRKMK2"
MAP2K4	mitogen-activated protein kinase kinase 4	6416	17:12020834-12143830	1	Yes	17p12	yes		"pancreatic, breast, colorectal"			E	Rec	"oncogene, TSG"	"D, Mis, N"				"CCDS62095.1,ENSG00000065559.14,JNKK1,MEK4,MKK4,NM_001281435.1,NP_001268364,P45985,PRKMK4,SERK1"
MAP3K1	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	4214	5:56815574-56896152	1	Yes	5q11.2	yes		luminal A breast			E	Rec	"oncogene, TSG"	"N, F, Mis, O, S"		yes	"46,XY sex reversal 6"	"CCDS43318.1,ENSG00000095015.5,MAPKKK1,MEKK,MEKK1,NM_005921.1,NP_005912,Q13233"
MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175	3:185363120-185489097	1	Yes	3q27.2	yes		breast			E	Rec	"oncogene, TSG"	F				"CCDS3270.1,ENSG00000073803.13,LZK,MEKK13,NM_004721.4,NP_004712,O43283"
MAPK1	mitogen-activated protein kinase 1	5594	22:21754500-21867629	1	Yes	22q11.22	yes		"CLL, ovarian mixed germ cell tumour, cervical carcinoma"			"E, L"	Dom	oncogene	Mis				"CCDS13795.1,ENSG00000100030.14,ERK,ERK2,MAPK2,NM_002745.4,NP_002736,P28482,PRKM1,PRKM2,p41mapk"
MAX	Myc associated factor X	4149	14:65075544-65102470	1	Yes	14q23.3	yes	yes	"pheochromocytoma, endometrioid carcinoma, colon carcinoma"	pheochromocytoma		"E, O"	Rec	TSG	"Mis, N, F"				"CCDS9771.1,ENSG00000125952.18,NM_002382.4,NP_002373,P61244,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8"
MB21D2	Mab-21 domain containing 2	151963	3:192796815-192918161	2		3q29	yes		lung cancer			E			Mis				"C3orf59,CCDS3302.2,ENSG00000180611.6,NM_178496.3,NP_848591,Q8IYB1"
MDM2	Mdm2 p53 binding protein homolog	4193	12:68808176-68850686	1		12q15	yes		"sarcoma, glioma, colorectal, other tumour types"			"M, O, E, L"	Dom	oncogene	A				"CCDS8986.2,ENSG00000135679.23,HDM2,MGC5370,NM_002392.5,NP_002383,Q00987"
MDM4	Mdm4 p53 binding protein homolog	4194	1:204516383-204558120	1		1q32.1	yes		"glioblastoma, bladder, retinoblastoma"			M	Dom	oncogene	A				"CCDS1447.1,ENSG00000198625.12,HDMX,MDMX,NM_002393.4,NP_002384,O15151"
MDS2	myelodysplastic syndrome 2		1:23581495-23640568	2		1p36.12	yes		MDS			L	Dom	fusion	T	ETV6			
MECOM	MDS1 and EVI1 complex locus	2122	3:169083499-169146305	1		3q26.2	yes		"AML, CML, MDS"			L	Dom	"oncogene, fusion"	T	"RUNX1, ETV6, PRDM16, RPN1"			"CCDS54670.1,ENSG00000085276.17,EVI1,KMT8E,MDS1,MDS1-EVI1,NM_001105077.3,NP_001098547,PRDM3,Q03112"
MED12	mediator complex subunit 12	9968	X:71118723-71142447	1	Yes	Xq13.1	yes		"uterine leiomyoma, fibroadenoma, phyllodes tumour"			"M, E"	Dom	TSG	"Mis, S, O"		yes	Opitz-Kaveggia Syndrome	"CAGH45,CCDS43970.1,ENSG00000184634.15,FGS1,HOPA,KIAA0192,NM_005120.2,NP_005111,OKS,OPA1,Q93074,TNRC11,TRAP230"
MEN1	multiple endocrine neoplasia type 1 gene	4221	11:64803524-64811294	1	Yes	11q13.1	yes	yes	"parathyroid tumours, pancreatic neuroendocrine tumour"	"parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid"	multiple endocrine neoplasia type 1	E	Rec	TSG	"D, Mis, N, F, S"				"CCDS8083.1,ENSG00000133895.14,NM_130803.2,NP_570715,NP_570715.1,O00255"
MET	met proto-oncogene (hepatocyte growth factor receptor)	4233	7:116672405-116796342	1	Yes	7q31.2	yes		"papillary renal, head-neck squamous cell"	papillary renal	familial papillary renal cancer	E	Dom	oncogene	Mis				"CCDS47689.1,DFNB97,ENSG00000105976.14,HGFR,NM_001127500.2,NP_001120972,P08581,RCCP2"
MGMT	O-6-methylguanine-DNA methyltransferase	4255	10:129467184-129768007	2		10q26.3	yes		glioma			O		TSG	D				"CCDS7660.2,ENSG00000170430.9,NM_002412.4,NP_002403,P16455"
MITF	melanogenesis-associated transcription factor	4286	3:69739435-69968336	1		3p13	yes		melanoma			E	Dom	oncogene	A		yes	"Waardenburg syndrome type 2, Tietz syndrome"	"CCDS43106.1,ENSG00000187098.15,MI,NM_198159.2,NP_937802,NP_001341534.1,NP_001341535.1,NP_001341533.1,O75030,WS2,WS2A,bHLHe32"
MLF1	myeloid leukemia factor 1	4291	3:158582835-158606459	1		3q25.32	yes		AML			L	Dom	"TSG, fusion"	T	NPM1			"CCDS56286.1,ENSG00000178053.17,NM_001195432.1,NP_001182361,P58340"
MLH1	E.coli MutL homolog gene	4292	3:36993332-37050918	1	Yes	3p22.2	yes	yes	"colorectal, endometrial, ovarian, CNS tumours"	"colorectal, endometrial, ovarian, CNS"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	"E, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS2663.1,COCA2,ENSG00000076242.14,FCC2,HNPCC,HNPCC2,NM_001354620.1,NP_000240,NP_001341546.1,NP_001341549.1,P40692"
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)"	4298	19:6210379-6279948	1		19p13.3	yes		AL			L	Dom	fusion	T	KMT2A			"CCDS12160.1,ENL,ENSG00000130382.8,LTG19,NM_005934.3,NP_005925,Q03111,YEATS1"
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)"	8028	10:21534343-21743630	1	Yes	10p12.31	yes		AL			L	Dom	"oncogene, fusion"	T	"KMT2A, PICALM, CDK6"			"AF10,CCDS55708.1,ENSG00000078403.16,P55197"
MLLT11	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	10962	1:151057758-151068497	1		1q21.3	yes		ALL			L	Dom	fusion	T	KMT2A			"AF1Q,CCDS982.1,ENSG00000213190.3,NM_006818.3,NP_006809,Q13015"
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)"	4300	9:20341665-20622543	1		9p21.3	yes		ALL			L	Dom	fusion	T	KMT2A			"AF-9,AF9,CCDS6494.1,ENSG00000171843.15,NM_004529.3,NP_004520,P42568,YEATS3"
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)"	4302	17:38705542-38729803	1		17q12	yes		AL			L	Dom	fusion	T	KMT2A			"AF17,CCDS11327.1,ENSG00000275023.4,FLJ23480,NM_005937.3,NP_005928,P55198"
MN1	"MN1 proto-oncogene, transcriptional regulator"	4330	22:27748277-27801498	1		22q12.1	yes		"AML, MDS"			L	Dom	"oncogene, fusion"	T	ETV6			"CCDS42998.1,ENSG00000169184.5,MGCR,MGCR1,MGCR1-PEN,NM_002430.2,NP_002421,Q10571"
MNX1	motor neuron and pancreas homeobox 1	3110	7:157004853-157010651	2		7q36.3	yes		AML			L	Dom	fusion	T	ETV6	yes	Currarino syndrome	"CCDS34788.1,ENSG00000130675.14,HB9,HLXB9,HOXHB9,NM_005515.3,NP_005506,P50219,SCRA1"
MPL	"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor"	4352	1:43337849-43352772	1	Yes	1p34.2	yes	yes	MPN	MPN	familial essential thrombocythemia	L	Dom	oncogene	Mis		yes	Congenital amegakaryocytic thrombocytopenia	"CCDS483.1,CD110,ENSG00000117400.17,NM_005373.2,NP_005364,P40238,TPOR"
MRTFA	megakaryoblastic leukemia (translocation) 1	57591	22:40411390-40533635	1		22q13.2	yes		acute megakaryocytic leukaemia			L	Dom	"oncogene, TSG, fusion"	T	RBM15			"BSAC,CCDS82720.1,ENSG00000196588.15,KIAA1438,MAL,MKL,MKL1,MRTF-A,NM_001318139.1,NP_001305068"
MSH2	mutS homolog 2 (E. coli)	4436	2:47402969-47483228	1	Yes	2p21	yes	yes	"colorectal, endometrial, ovarian"	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"D, Mis, N, F, S"				"CCDS1834.1,COCA1,ENSG00000095002.14,HNPCC,HNPCC1,NM_000251.2,NP_000242,P43246"
MSH6	mutS homolog 6 (E. coli)	2956	2:47783082-47810101	1	Yes	2p16.3	yes	yes	colorectal	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"Mis, N, F, S"				"CCDS1836.1,ENSG00000116062.14,GTBP,NM_000179.2,NP_000170,P52701"
MSI2	musashi homolog 2 (Drosophila)	124540	17:57256534-57684685	1		17q22	yes		CML			L	Dom	"oncogene, fusion"	T	HOXA9			"CCDS11596.1,ENSG00000153944.10,NM_138962.3,NP_620412,Q96DH6"
MSN	moesin	4478	X:65667670-65741931	1		Xq12	yes		ALCL			L	Dom	fusion	T	ALK			"CCDS14382.1,ENSG00000147065.16,NM_002444.2,NP_002435,P26038"
MTCP1	mature T-cell proliferation 1	4515	X:155064034-155071226	1		Xq28	yes		T cell prolymphocytic leukaemia			L	Dom	"oncogene, fusion"	T	TRA			"CCDS44027.1,ENSG00000214827.9,NM_001018025.3,NP_001018025,P13MTCP1,P56278,p8MTCP1"
MTOR	mechanistic target of rapamycin	2475	1:11106535-11262507	1	Yes	1p36.22	yes		"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types"			E	Dom	oncogene	"Mis, N"		yes	"Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,"	"CCDS127.1,ENSG00000198793.12,FLJ44809,FRAP,FRAP1,FRAP2,NM_004958.3,NP_004949,P42345,RAFT1,RAPT1"
MUC1	"mucin 1, transmembrane"	4582	1:155185826-155192915	1		1q22	yes		B-NHL			L	Dom	fusion	T	IGH			"ADMCKD,ADMCKD1,CCDS72933.1,CD227,ENSG00000185499.16,MCD,MCKD,MCKD1,NM_001204286.1,NP_001191215,PEM,PUM"
MUC16	"mucin 16, cell surface associated"	94025	19:8848844-8981342	2		19p13.2	yes		"HNSCC, melanoma"			E		oncogene	Mis				"CA125,CCDS54212.1,ENSG00000181143.15,FLJ14303,NM_024690.2,NP_078966,Q8WXI7"
MUC4	"mucin 4, cell surface associated"	4585	3:195746765-195812277	2		3q29	yes		HNSCC			E		oncogene	"Mis, O"				"CCDS54700.1,ENSG00000145113.21,NM_018406.6,NP_060876"
MUC6	"mucin 6, oligomeric mucus/gel-forming"	4588	11:1012821-1036706	2		11p15.5	yes	yes	gastric cancer	"gastric cancer, rectal cancer"		E			"F, M, O"				"CCDS44513.1,ENSG00000184956.15,NM_005961.2,NP_005952,Q6W4X9"
MUTYH	mutY homolog (E. coli)	4595	1:45329242-45340388	1		1p34.1		yes		colorectal	adenomatous polyposis coli	E	Rec	TSG	Mis				"CCDS520.1,ENSG00000132781.17,MYH,NM_012222.2,NP_036354,Q9UIF7"
MYB	v-myb myeloblastosis viral oncogene homolog	4602	6:135181315-135219167	1	Yes	6q23.3	yes		adenoid cystic carcinoma			E	Dom	"oncogene, fusion"	T	NFIB			"CCDS47481.1,ENSG00000118513.18,NM_001130173.1,NP_001123645,P10242,c-myb"
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	8:127736069-127741434	1	Yes	8q24.21	yes		"B-CLL, breast cancer, Burkitt lymphoma, gastric cancer, ovarian cancer"			"L, E"	Dom	"oncogene, fusion"	"A, T"	"IGK, BCL5, BCL7A , BTG1, TRA, IGH"			"CCDS6359.2,ENSG00000136997.17,MYCC,NM_002467.4,NP_002458,NP_002458.2,bHLHe39,c-Myc"
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	4610	1:39895426-39902013	1		1p34.2	yes		small cell lung carcinoma			E	Dom	oncogene	A				"CCDS53300.1,ENSG00000116990.10,LMYC,MYCL1,NM_001033082.2,NP_001028254,P12524,bHLHe38"
MYCN	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	4613	2:15940564-15947007	1	Yes	2p24.3	yes		"neuroblastoma, Wilms tumour"			O	Dom	oncogene	"A, Mis"		yes	Feingold syndrome 1	"CCDS1687.1,ENSG00000134323.11,MYCNOT,N-myc,NMYC,NM_005378.5,NP_001280157,NP_005369,NP_001280162.1,P04198,bHLHe37"
MYD88	myeloid differentiation primary response gene (88)	4615	3:38138478-38143019	1	Yes	3p22.2	yes		ABC-DLBCL			L	Dom	oncogene	Mis				"CCDS54565.1,ENSG00000172936.12,NM_001172567.1,NP_001166038"
MYH11	"myosin, heavy polypeptide 11, smooth muscle"	4629	16:15703172-15857011	1		16p13.11	yes		AML			L	Dom	fusion	T	CBFB			"CCDS45423.1,ENSG00000133392.17,NM_001040114.1,NP_001035203,P35749,SMHC,SMMHC"
MYH9	"myosin, heavy polypeptide 9, non-muscle"	4627	22:36281277-36388067	1		22q12.3	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK	yes	"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome"	"CCDS13927.1,DFNA17,ENSG00000100345.21,EPSTS,FTNS,MHA,NMHC-II-A,NMMHCA,NM_002473.5,NP_002464,P35579"
MYO5A	"myosin VA (heavy chain 12, myoxin)"	4644	15:52307283-52529050	1		15q21.2	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1	yes	Griscelli syndrome	"CCDS42037.1,ENSG00000197535.14,GS1,MYH12,MYO5,MYR12,NM_000259.3,NP_000250,NP_000250.3,Q9Y4I1"
MYOD1	myogenic differentiation 1	4654	11:17719568-17722131	1	Yes	11p15.1	yes		embryonal rhabdomyosarcoma			M	Dom	oncogene	Mis				"CCDS7826.1,ENSG00000129152.3,MYF3,MYOD,NM_002478.4,NP_002469,P15172,PUM,bHLHc1"
N4BP2	NEDD4 binding protein 2	55728	4:40056826-40158252	2		4p14	yes		lung cancer			E		TSG	D				"B3BP,CCDS3457.1,ENSG00000078177.13,NM_018177.5,NP_060647,NP_001305288.1,Q86UW6"
NAB2	NGFI-A binding protein 2	4665	12:57088894-57095476	1	Yes	12q13.3	yes		"solitary fibrous tumour, meningeal haemangiopericytoma"			"M, O"	Dom	"TSG, fusion"	T	STAT6			"CCDS8930.1,ENSG00000166886.12,MADER,NM_005967.3,NP_005958,Q15742"
NACA	nascent-polypeptide-associated complex alpha polypeptide	4666	12:56712433-56725299	2		12q13.3	yes		NHL			L	Dom	fusion	T	BCL6			"CCDS44925.2,E9PAV3,ENSG00000196531.10,NACA1,NM_001113203.2,NP_001106674"
NBEA	neurobeachin	26960	13:34942287-35672735	2		13q13.3	yes		"large intestine carcinoma, multiple myeloma"			"E, L"			"F, T"	PVT1			"BCL8B,CCDS45026.1,ENSG00000172915.18,FLJ10197,KIAA1544,LYST2,NM_015678.4,NP_056493,Q8NFP9"
NBN	nibrin	4683	8:89933336-89984716	1		8q21.3		yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome	"L, E, M, O"	Rec	TSG	"Mis, N, F"				"AT-V1,AT-V2,ATV,CCDS6249.1,ENSG00000104320.13,NBS,NBS1,NM_002485.4,NP_002476,O60934"
NCKIPSD	NCK interacting protein with SH3 domain	51517	3:48673844-48685927	2		3p21.31	yes		ALL			L	Dom	fusion	T	KMT2A			"AF3P21,CCDS2776.1,DIP1,ENSG00000213672.7,NM_016453.3,NP_057537,ORF1,Q9NZQ3,SPIN90,WASLBP,WISH"
NCOA1	nuclear receptor coactivator 1	8648	2:24491932-24770702	1		2p23.3	yes		alveolar rhabdomyosarcoma			M	Dom	fusion	T	PAX3			"CCDS1712.1,ENSG00000084676.15,F-SRC-1,KAT13A,NCoA-1,Q15788,RIP160,SRC1,bHLHe74"
NCOA2	nuclear receptor coactivator 2 (TIF2)	10499	8:70109762-70403805	1	Yes	8q13.3	yes		"AML, chondrosarcoma, rhabdomyosarcoma"			"L, M"	Dom	"oncogene, fusion"	T	"KAT6A, HEY1"			"CCDS47872.1,ENSG00000140396.12,GRIP1,KAT13C,NCoA-2,NM_006540.3,NP_001308636,NP_006531,NP_001308632,NP_001308641.1,NP_001308642.1,NP_001308640.1,Q15596,TIF2,bHLHe75"
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	8031	10:46006412-46030607	1		10q11.22	yes		papillary thyroid			E	Dom	"TSG, fusion"	T	RET			"ARA70,CCDS73094.1,DKFZp762E1112,ELE1,ENSG00000266412.5,NM_001145260.1,NP_001138732,PTC3,Q13772,RFG"
NCOR1	nuclear receptor corepressor 1	9611	17:16029157-16215549	1	Yes	17p12	yes		breast			E	Rec	TSG	"Mis, F, N, O"		yes	Ulnar-mammary syndrome	"CCDS11175.1,ENSG00000141027.20,KIAA1047,MGC104216,N-CoR,NM_006311.3,NP_006302,O75376,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
NCOR2	nuclear receptor corepressor 2	9612	12:124324415-124495252	1	Yes	12q24.31	yes		prostate			E	Dom	TSG	"Mis, F, N, O"				"CCDS41858.2,CTG26,ENSG00000196498.13,NM_006312.5,NP_006303,SMRT,SMRTE,TNRC14,TRAC-1"
NDRG1	N-myc downstream regulated 1	10397	8:133237176-133297586	1	Yes	8q24.22	yes		prostate			E	Dom	"TSG, fusion"	T	ERG			"CAP43,CCDS34945.1,DRG1,ENSG00000104419.14,NDR1,NM_001135242.1,NP_001128714,Q92597,RTP,TDD5"
NF1	neurofibromatosis type 1 gene	4763	17:31094927-31377677	1	Yes	17q11.2	yes	yes	"neurofibroma, glioma"	"neurofibroma, glioma"	neurofibromatosis type 1	O	Rec	"TSG, fusion"	"D, Mis, N, F, S, O, T"				"CCDS42292.1,ENSG00000196712.17,NM_001042492.2,NP_001035957,P21359"
NF2	neurofibromatosis type 2 gene	4771	22:29603558-29698598	1	Yes	22q12.2	yes	yes	"meningioma, acoustic neuroma, renal"	"meningioma, acoustic neuroma"	neurofibromatosis type 2	O	Rec	TSG	"D, Mis, N, F, S, O"				"ACN,BANF,CCDS13861.1,ENSG00000186575.17,NM_000268.3,NP_000259,P35240,SCH,merlin"
NFATC2	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"	4773	20:51386957-51542719	1		20q13.2	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"CCDS13437.1,ENSG00000101096.19,NF-ATP,NFAT1,NFATp,NM_173091.3,NP_775114,NP_001245226.1,Q13469"
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	4780	2:177230305-177265131	1	Yes	2q31.2	yes		"NSCLC, HNSCC"			E	Dom	"oncogene, TSG"	Mis				"CCDS42782.1,ENSG00000116044.15,NM_006164.4,NP_006155,NP_001300831.1,NP_001300832.1,NRF2,Q16236"
NFIB	nuclear factor I/B	4781	9:14087569-14313667	1		9p23	yes		"adenoid cystic carcinoma, lipoma"			E	Dom	fusion	T	"MYB, HGMA2"			"CCDS55291.1,ENSG00000147862.16,NFI-RED,NFIB2,NFIB3,NM_001190737.1,NP_001177666,O00712"
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	4791	10:102394597-102402524	1		10q24.32	yes		B-NHL			L	Dom	"oncogene, TSG, fusion"	T	IGH			"CCDS41564.1,ENSG00000077150.18,LYT-10,NF-kB2,NM_001322935.1,NP_001309863,NP_001070962,NP_001309864.1,Q00653,p105,p49/p100,p52"
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	4794	6:44258166-44265788	1	Yes	6p21.1	yes		"CLL, desmoplastic melanoma"			"L, E"	Dom/Rec	TSG	"F, Mis"				"CCDS34463.1,ENSG00000146232.16,IKBE,NM_004556.2,NP_004547,O00221"
NIN	ninein (GSK3B interacting protein)	51199	14:50725840-50831121	1		14q22.1	yes		MPN			L	Dom	fusion	T	PDGFRB			"CCDS32079.1,ENSG00000100503.23,NM_182946.1,NP_891991,NP_891991.1,Q8N4C6"
NKX2-1	NK2 homeobox 1	7080	14:36516392-36520228	1		14q13.3	yes		NSCLC			E	Dom	"oncogene, TSG"	A				"BCH,CCDS41945.1,ENSG00000136352.17,NKX2A,NM_001079668.2,NP_001073136,P43699,TITF1,TTF-1,TTF1"
NONO	"non-POU domain containing, octamer-binding"	4841	X:71283583-71301168	1	Yes	Xq13.1	yes		papillary renal			E	Dom	fusion	T	TFE3			"CCDS14410.1,ENSG00000147140.15,NMT55,NM_007363.4,NP_031389,NRB54,P54,P54NRB,PPP1R114,Q15233"
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	4851	9:136494433-136545786	1	Yes	9q34.3	yes		"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"			"L, E"	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, O"	"TRB, SEC16A, GABBR2"			"CCDS43905.1,ENSG00000148400.10,NM_017617.4,NP_060087,P46531,TAN1"
NOTCH2	Notch homolog 2	4853	1:119911553-120069626	1	Yes	1p12	yes		"marginal zone lymphoma, DLBCL, bladder"			"L, E"	Dom/Rec	"oncogene, TSG"	"N, F, Mis"		yes	"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome"	"CCDS908.1,ENSG00000134250.19,NM_024408.3,NP_077719,NP_001186930.1,Q04721"
NPM1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	4869	5:171387648-171411137	1	Yes	5q35.1	yes		"NHL, APL, AML"			L	Dom	"oncogene, fusion"	"T, F"	"ALK, RARA, MLF1"			"B23,CCDS4376.1,ENSG00000181163.13,NM_002520.6,NPM,NP_002511,P06748"
NR2F2	Nuclear receptor subfamily 2 group F member 2	7026	15:96330717-96340263	2		15q26.2	yes		"endometrioid carcinoma, soft-tissue sarcoma"			"E, M"			"A, Mis, O"				"ARP1,CCDS10375.1,COUP-TFII,COUPTF2,COUPTFB,ENSG00000185551.14,NF-E3,NM_021005.3,NP_066285,P24468,SVP40,TFCOUP2"
NR4A3	"nuclear receptor subfamily 4, group A, member 3 (NOR1)"	8013	9:99821855-99866891	1		9q31.1	yes		extraskeletal myxoid chondrosarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1, TAF15, TCF12, TFG"			"CCDS6742.1,CHN,CSMF,ENSG00000119508.17,MINOR,NM_173200.2,NOR1,NP_775292,Q92570"
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893	1:114704469-114716894	1	Yes	1p13.2	yes		"melanoma, MM, AML, thyroid"			"L, E"	Dom	oncogene	Mis				"CCDS877.1,ENSG00000213281.4,N-ras,NM_002524.4,NP_002515,P01111"
NRG1	neuregulin 1	3084	8:32548635-32764407	1		8p12	yes		NSCLC			E	Dom	"TSG, fusion"	T	CD74			"CCDS6083.1,ENSG00000157168.18,GGF,HGL,HRG,NDF,NM_013956.4,NP_039250,NRG1-IT2,Q02297"
NSD1	nuclear receptor binding SET domain protein 1	64324	5:177133925-177300215	1		5q35.3	yes		AML			L	Dom	fusion	T	NUP98	yes	Sotos Syndrome	"ARA267,CCDS4412.1,ENSG00000165671.20,FLJ22263,KMT3B,NM_022455.4,NP_071900,Q96L73,STO"
